iter	MultiClass
0	1.059093241
1	1.026975664
2	0.9990252003
3	0.9699991732
4	0.9419377693
5	0.9162791476
6	0.8905076807
7	0.8668074255
8	0.8426813801
9	0.8228592449
10	0.801411004
11	0.7825206634
12	0.7624882803
13	0.7427562075
14	0.7221496458
15	0.7064767266
16	0.6880818461
17	0.6692974062
18	0.6527154988
19	0.6359171355
20	0.6216559829
21	0.6084141388
22	0.5980495609
23	0.5845600922
24	0.5706387044
25	0.5587139338
26	0.5476451815
27	0.535478292
28	0.5242741675
29	0.513160133
30	0.5031921546
31	0.491906678
32	0.4805482409
33	0.4675962467
34	0.4590505915
35	0.4509142685
36	0.4415637156
37	0.4325112795
38	0.4240576487
39	0.4161515166
40	0.4075943089
41	0.4002782391
42	0.3920502595
43	0.3862269039
44	0.3798668052
45	0.3724514887
46	0.3654354707
47	0.3584774699
48	0.3526357538
49	0.34599585
50	0.3398724371
51	0.3341754714
52	0.3274061726
53	0.3222432244
54	0.3169237641
55	0.3120841171
56	0.3077720939
57	0.3034324904
58	0.2982153433
59	0.2930762552
60	0.2891654644
61	0.2843024382
62	0.2799514524
63	0.2756545516
64	0.2723045245
65	0.2674365577
66	0.2638865182
67	0.259689969
68	0.2550534678
69	0.2516920447
70	0.2473676868
71	0.2440650796
72	0.2400944335
73	0.2368203954
74	0.2326981834
75	0.2296805518
76	0.2262552208
77	0.2236135908
78	0.2215650117
79	0.2189051876
80	0.2169129574
81	0.2142453126
82	0.2121336817
83	0.2089597115
84	0.2058678125
85	0.2031089817
86	0.2005616984
87	0.1982856847
88	0.1964083241
89	0.1941867869
90	0.1921686418
91	0.190180117
92	0.1879796828
93	0.1850876292
94	0.1831837595
95	0.18100691
96	0.1785054635
97	0.1768101005
98	0.1750107955
99	0.1730444876
100	0.1711660351
101	0.1691443649
102	0.1670615315
103	0.1647050293
104	0.1631567407
105	0.1614395103
106	0.159725218
107	0.1581908605
108	0.1565038778
109	0.1547639923
110	0.1529013706
111	0.1512253947
112	0.1500082731
113	0.1485668925
114	0.1471426679
115	0.1450953994
116	0.1437724196
117	0.1425410319
118	0.1410471142
119	0.1395603095
120	0.1383451296
121	0.1366569033
122	0.135301619
123	0.134373779
124	0.1323778256
125	0.1311660282
126	0.1298055869
127	0.128348333
128	0.1271616711
129	0.1262874867
130	0.1248871025
131	0.1238020812
132	0.1230788115
133	0.1219618197
134	0.1209927817
135	0.119878194
136	0.1190740546
137	0.1181234814
138	0.1165374652
139	0.1154222204
140	0.1140119557
141	0.1130770152
142	0.1119537821
143	0.1112146134
144	0.1100148161
145	0.108801867
146	0.1078888724
147	0.1070526565
148	0.1058793881
149	0.104817065
150	0.1040130809
151	0.1031215105
152	0.1021612108
153	0.1010695805
154	0.1001928855
155	0.09947327294
156	0.09880678441
157	0.09819923237
158	0.0975043235
159	0.09679233634
160	0.09597824176
